stage,date,tokens_per_second,basis,status,evidence_ref,evidence_archive,evidence_sha256,source_artifact
baseline,2026-07-30,0.06545,16-token auto-budget median,starting_point,private retained lab record,historical-lab-record,9928acb23dc009433eaa319687c378e4e7d173530e60ce8c4fe80fbabd47a914,summary.csv
sprint1,2026-07-31,0.17243,practical 64-token decode,retained_safety_profile,https://github.com/mccoyspace/waste-spark/tree/gn100-sprint5-results-2026-08-01,historical-lab-record,c6ddf793a375ee7e806aa8947f5fb2f7200c730bc8303718b2046b48522f899a,first-sprint-report.md
sprint2,2026-07-31,0.20308,matched 64-token decode,retained_io_uring_qd4,https://github.com/mccoyspace/waste-spark/tree/gn100-sprint5-results-2026-08-01,historical-lab-record,dd1fa1e4130523c76db12fd9766ae06ad9dcf32ca731f59a12113a7c0c1a7413,second-sprint-report.md
sprint3,2026-07-31,0.20308,retained Sprint 2 production result,mechanism_only,https://github.com/mccoyspace/waste-spark/tree/gn100-sprint5-results-2026-08-01,historical-lab-record,fbedd7795e7949fe469b09d78ea6435467b978a17b5fcaf882436d17116e8b28,third-sprint-report.md
sprint4,2026-08-01,0.20308,retained Sprint 2 production result,prefix_cache_added,https://github.com/mccoyspace/waste-spark/tree/gn100-sprint5-results-2026-08-01,historical-lab-record,ad30f2103fbb7fb050c185be5fe6bdb26bc20f9bf30e3ba6993200c796c863a7,fourth-sprint-report.md
sprint5,2026-08-01,0.312,one-token four-block whole-expert plus Q0 mean,retained_archive,https://github.com/mccoyspace/waste-spark/tree/gn100-sprint5-results-2026-08-01,historical-lab-record,a87c26026a4c909c2dada0782fd0071e00a31350739a668e162a3266547d0ce2,fifth-sprint-report.md
sprint6,2026-08-01,0.36,current-upstream raw one-token bridge,retained_current_reader,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint6-results-2026-08-01,waste-gn100-sprint6-evidence-2026-08-01.tar.gz,9ebbc98139ce5b8a9ebb46eb1519105a95f1cc018a33e4e3e76831acb206a78e,sixth-sprint-report.md
sprint7,2026-08-02,0.34,sustained 64-token decode,retained_q0_profile,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint7-results-2026-08-02,waste-gn100-sprint7-evidence-2026-08-02.tar.gz,2d820a89df82bd868308ba51d00ff2b5bee000ff319cfe96d10699b18391ebf8,docs/gn100/sprint7-baseline.csv
sprint8,2026-08-02,0.34,retained Sprint 7 result,no_promotion,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint8-results-2026-08-02,waste-gn100-sprint8-evidence-2026-08-02.tar.gz,bcfaac94364dc32f4ee1f7a4f5b2c0a12b87aed8d9b9d7b4bcadfc9a698fa435,docs/gn100/sprint8-throughput.csv
sprint9,2026-08-02,0.349018,one-load balanced 16-token median,retained_width0,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint9-results-2026-08-02,gn100-sprint9-evidence-2026-08-02.tar.gz,f8df2eb7417c839bfa3138e9490de224a5a46b3a72c39f0c4da889d8e1fea6cd,docs/gn100/sprint9-lookahead.csv
sprint10,2026-08-02,0.349018,retained Sprint 9 result,no_promotion,docs/gn100/sprint10-pressure.csv,gn100-sprint10-pressure-evidence-2026-08-02.tar.gz,9cf515ed3e479f9b34cbc832d849253c14d54e73b1dcadb5e4437147e57170a3,docs/gn100/sprint10-pressure.csv
sprint11,2026-08-02,0.475833,exact 64-token KDA-CUDA capture,experimental,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint12-results-2026-08-02,gn100-sprint12-evidence-2026-08-02.tar.gz,a38522b49866a3aa93b551560b69ade282bb960f6f26c1aea7050e4e5bfd65a0,docs/gn100/sprint11-gpu-summary.json
sprint12,2026-08-02,0.673474,exact 64-token dense-CUDA capture,experimental_selected_scope2,https://github.com/mccoyspace/waste-spark/releases/tag/gn100-sprint12-results-2026-08-02,gn100-sprint12-evidence-2026-08-02.tar.gz,a38522b49866a3aa93b551560b69ade282bb960f6f26c1aea7050e4e5bfd65a0,docs/gn100/sprint12-dense-gpu-summary.json
