run,mode,budget,decode_seconds,tok_s,process_wall_s,fs_input_bytes,hit_rate_pct,min_mem_available_bytes,waste_swap_kb,holder_swap_kb,swapout_pages,kswapd_scan_pages,psi_full_us
clean-b1-2x,clean,2x,47.40,0.34,129.59,374275829760,36,57071411200,0,0,0,0,0
clean-b1-3x,clean,3x,46.74,0.34,130.84,337340833792,49,38753951744,0,0,0,0,0
clean-b2-2x,clean,2x,47.89,0.33,129.16,374275829760,36,57258405888,0,0,0,0,0
clean-b2-3x,clean,3x,46.99,0.34,131.70,337340833792,49,38723969024,0,0,0,0,0
pressure-b1-2x,pressure,2x,47.91,0.33,141.33,396725981184,36,25830916096,0,0,259,977276,306
pressure-b1-3x,pressure,3x,47.12,0.34,134.32,342616535040,49,7347412992,0,0,1359,5507059,2716
pressure-b2-2x,pressure,2x,48.31,0.33,132.09,378256969728,36,25869815808,0,0,484,987101,960
pressure-b2-3x,pressure,3x,47.20,0.34,134.34,341358845952,49,7343816704,0,0,1681,5492754,1741
pressure-b3-2x,pressure,2x,48.51,0.33,142.28,396737830912,36,25634340864,0,0,153,987288,1014
pressure-b3-3x,pressure,3x,47.04,0.34,142.37,359792328704,49,7326765056,0,0,930,5493809,2051
